SAVED BY: JJ
TITLE: 
COMMENTS: 
DATE: 2/24/2020
TIME: 8:13 PM

STIMULUS, RESPONSE
3.795625E+8,  -1.544922E+0
3.801250E+8,  -1.485229E+0
3.806875E+8,  -1.496582E+0
3.812500E+8,  -1.481689E+0
3.818125E+8,  -1.524231E+0
3.823750E+8,  -1.448181E+0
3.829375E+8,  -1.468018E+0
3.835000E+8,  -1.423950E+0
3.840625E+8,  -1.446228E+0
3.846250E+8,  -1.420959E+0
3.851875E+8,  -1.437744E+0
3.857500E+8,  -1.460876E+0
3.863125E+8,  -1.534790E+0
3.868750E+8,  -1.455688E+0
3.874375E+8,  -1.442932E+0
3.880000E+8,  -1.504089E+0
3.885625E+8,  -1.473267E+0
3.891250E+8,  -1.509155E+0
3.896875E+8,  -1.525146E+0
3.902500E+8,  -1.523865E+0
3.908125E+8,  -1.551270E+0
3.913750E+8,  -1.517822E+0
3.919375E+8,  -1.558838E+0
3.925000E+8,  -1.576904E+0
3.930625E+8,  -1.623718E+0
3.936250E+8,  -1.638367E+0
3.941875E+8,  -1.630737E+0
3.947500E+8,  -1.613953E+0
3.953125E+8,  -1.635620E+0
3.958750E+8,  -1.646118E+0
3.964375E+8,  -1.630127E+0
3.970000E+8,  -1.671448E+0
3.975625E+8,  -1.669495E+0
3.981250E+8,  -1.719116E+0
3.986875E+8,  -1.700256E+0
3.992500E+8,  -1.751953E+0
3.998125E+8,  -1.768433E+0
4.003750E+8,  -1.876770E+0
4.009375E+8,  -1.847595E+0
4.015000E+8,  -1.903687E+0
4.020625E+8,  -1.949890E+0
4.026250E+8,  -1.967285E+0
4.031875E+8,  -2.010010E+0
4.037500E+8,  -2.030518E+0
4.043125E+8,  -2.112793E+0
4.048750E+8,  -2.109619E+0
4.054375E+8,  -2.146606E+0
4.060000E+8,  -2.263306E+0
4.065625E+8,  -2.216797E+0
4.071250E+8,  -2.243042E+0
4.076875E+8,  -2.301880E+0
4.082500E+8,  -2.368408E+0
4.088125E+8,  -2.415527E+0
4.093750E+8,  -2.437256E+0
4.099375E+8,  -2.487915E+0
4.105000E+8,  -2.549683E+0
4.110625E+8,  -2.691406E+0
4.116250E+8,  -2.687134E+0
4.121875E+8,  -2.680786E+0
4.127500E+8,  -2.711060E+0
4.133125E+8,  -2.877319E+0
4.138750E+8,  -2.957031E+0
4.144375E+8,  -3.012817E+0
4.150000E+8,  -3.069336E+0
4.155625E+8,  -3.199585E+0
4.161250E+8,  -3.281494E+0
4.166875E+8,  -3.363037E+0
4.172500E+8,  -3.490723E+0
4.178125E+8,  -3.552612E+0
4.183750E+8,  -3.561646E+0
4.189375E+8,  -3.702759E+0
4.195000E+8,  -3.840088E+0
4.200625E+8,  -3.815918E+0
4.206250E+8,  -3.921021E+0
4.211875E+8,  -4.055420E+0
4.217500E+8,  -4.184570E+0
4.223125E+8,  -4.279297E+0
4.228750E+8,  -4.398682E+0
4.234375E+8,  -4.502930E+0
4.240000E+8,  -4.578369E+0
4.245625E+8,  -4.747559E+0
4.251250E+8,  -4.952637E+0
4.256875E+8,  -4.968994E+0
4.262500E+8,  -5.087158E+0
4.268125E+8,  -5.339111E+0
4.273750E+8,  -5.469727E+0
4.279375E+8,  -5.632568E+0
4.285000E+8,  -5.797852E+0
4.290625E+8,  -5.976807E+0
4.296250E+8,  -6.146973E+0
4.301875E+8,  -6.359619E+0
