FFT Dimension (GHz),Re( Z ) (ohm),Im( Z ) (ohm)
0.038110236,0.0192971881,8.20316792
0.038233572,0.0189187583,8.23029995
0.038356904,0.0185398739,8.25744057
0.03848024,0.018162217,8.28459167
0.038603572,0.0177824702,8.31175423
0.038726908,0.0174046271,8.33892632
0.03885024,0.0170257073,8.36610794
0.038973576,0.0166493654,8.39330101
0.039096908,0.0162713006,8.42050171
0.039220244,0.0158915278,8.44771385
0.039343576,0.0155163268,8.47493839
0.039466912,0.0151387742,8.50217056
0.039590244,0.0147621781,8.52941418
0.03971358,0.014387195,8.55666924
0.039836912,0.0140112033,8.58392906
0.039960248,0.0136374943,8.61120415
0.04008358,0.01326345,8.63848877
0.040206916,0.0128907077,8.66578102
0.040330248,0.0125202555,8.69308472
0.040453584,0.0121468818,8.720397
0.04057692,0.0117787318,8.74772072
0.040700252,0.0114080049,8.77505493
0.040823588,0.0110402284,8.80240059
0.04094692,0.0106744254,8.82975197
0.041070256,0.0103083393,8.8571167
0.041193588,0.00994423591,8.88448715
0.041316924,0.00958211441,8.91187286
0.041440256,0.00921940245,8.93926525
0.041563592,0.00885739923,8.96667004
0.041686924,0.00849834736,8.9940815
0.04181026,0.00814096816,9.02150536
0.041933592,0.00778430374,9.0489378
0.042056928,0.00743122865,9.07638168
0.04218026,0.00707727717,9.10383129
0.042303596,0.00672500767,9.1312933
0.042426928,0.0063772779,9.15876484
0.042550264,0.00602583308,9.18624687
0.042673596,0.00567956315,9.21373653
0.042796932,0.00533560803,9.24123669
0.042920264,0.00499238912,9.26874733
0.0430436,0.00465117069,9.29626656
0.043166936,0.00431226892,9.32379723
0.043290268,0.00397536531,9.35133457
0.043413604,0.00363889406,9.37888145
0.043536936,0.00330411433,9.40643978
0.043660272,0.00297414954,9.43400574
0.043783604,0.0026449319,9.46158218
0.04390694,0.00231677853,9.48916721
0.044030272,0.00199155789,9.51676178
0.044153608,0.00166740327,9.54436684
0.04427694,0.00134431862,9.57197952
0.044400276,0.00102632807,9.5996027
0.044523608,0.000709710643,9.62723446
0.044646944,0.000394776987,9.65487385
0.044770276,7.99895497e-05,9.68252563
0.044893612,-0.000231878774,9.71018505
0.045016944,-0.000539300556,9.73785305
0.04514028,-0.000845962262,9.76552963
0.045263612,-0.00114849757,9.79321575
0.045386948,-0.00145271327,9.82091236
0.04551028,-0.00175097992,9.84861469
0.045633616,-0.00205182889,9.87632942
0.045756952,-0.00234552915,9.90405273
0.045880284,-0.00263998285,9.93178177
0.04600362,-0.00293154852,9.95952225
0.046126952,-0.00321842264,9.98727226
0.046250288,-0.00350634311,10.015028
0.04637362,-0.00379198813,10.0427952
0.046496956,-0.00407295767,10.0705709
0.046620288,-0.00435256632,10.0983515
0.046743624,-0.00463170698,10.1261463
0.046866956,-0.00490679126,10.1539478
0.046990292,-0.00517783128,10.1817551
0.047113624,-0.00545078982,10.2095757
0.04723696,-0.00571792666,10.237401
0.047360292,-0.0059863776,10.2652397
0.047483628,-0.00624961872,10.2930822
0.04760696,-0.00651180139,10.3209343
0.047730296,-0.00677351281,10.3487959
0.047853628,-0.0070313504,10.376668
0.047976964,-0.00728720892,10.4045467
0.048100296,-0.0075417175,10.4324312
0.048223632,-0.00779249053,10.4603281
0.048346968,-0.0080424631,10.4882307
0.0484703,-0.00828864798,10.5161438
0.048593636,-0.00853399187,10.5440636
0.048716968,-0.00877669081,10.5719919
0.048840304,-0.00901731662,10.5999327
0.048963636,-0.00925524719,10.6278763
0.049086972,-0.00949346926,10.6558313
0.049210304,-0.0097307656,10.6837921
0.04933364,-0.00995988119,10.7117634
0.049456972,-0.0101922536,10.7397442
0.049580308,-0.0104218302,10.7677345
0.04970364,-0.0106461588,10.7957306
