FFT Dimension (GHz),Re( S11 ),Im( S11 )
0.045880284,-0.924177051,0.382230252
0.04600362,-0.923778892,0.383220822
0.046126952,-0.923379481,0.384211063
0.046250288,-0.922978997,0.385200799
0.04637362,-0.922577143,0.386190295
0.046496956,-0.922174156,0.387179345
0.046620288,-0.921770215,0.388167977
0.046743624,-0.921364844,0.389156461
0.046866956,-0.920958459,0.390144497
0.046990292,-0.920550644,0.391131997
0.047113624,-0.920141757,0.392119408
0.04723696,-0.919731855,0.393106222
0.047360292,-0.919320643,0.394092917
0.047483628,-0.918908179,0.395078987
0.04760696,-0.918494523,0.396064699
0.047730296,-0.918079913,0.397050202
0.047853628,-0.917664051,0.398035169
0.047976964,-0.917246997,0.399019867
0.048100296,-0.916828692,0.400004059
0.048223632,-0.916409492,0.400987804
0.048346968,-0.915988803,0.4019714
0.0484703,-0.9155671,0.40295434
0.048593636,-0.915144086,0.403936982
0.048716968,-0.914719999,0.404919088
0.048840304,-0.914294779,0.405901164
0.048963636,-0.913868368,0.406882435
0.049086972,-0.913440824,0.407863557
0.049210304,-0.913012207,0.408844054
0.04933364,-0.912582219,0.409824193
0.049456972,-0.912151158,0.410804063
0.049580308,-0.911719024,0.411783457
0.04970364,-0.911285639,0.412762344
0.049826976,-0.910851061,0.413740784
0.049950308,-0.910415411,0.414718777
0.050073644,-0.909978569,0.415696502
0.050196976,-0.909540892,0.416673899
0.050320312,-0.909101605,0.417650491
0.050443644,-0.908661366,0.418626934
0.05056698,-0.908219934,0.419602782
0.050690312,-0.907777369,0.420578301
0.050813648,-0.90733391,0.421553463
0.050936984,-0.906889141,0.422527969
0.051060316,-0.906443179,0.423502088
0.051183652,-0.905996084,0.424475908
0.051306984,-0.905547857,0.425449133
0.05143032,-0.905098438,0.42642206
0.051553652,-0.904648066,0.42739445
0.051676988,-0.90419656,0.428366363
0.05180032,-0.903743744,0.429337919
0.051923656,-0.903290033,0.430308998
0.052046988,-0.902835011,0.431279451
0.052170324,-0.902378857,0.432249725
0.052293656,-0.90192157,0.433219403
0.052416992,-0.90146333,0.434188575
0.052540324,-0.901003778,0.435157418
0.05266366,-0.900543392,0.436125666
0.052786992,-0.900081456,0.437093556
0.052910328,-0.899618864,0.438060969
0.05303366,-0.899154782,0.439027697
0.053156996,-0.898689806,0.439994276
0.053280332,-0.898223579,0.440960228
0.053403664,-0.897756398,0.441925943
0.053527,-0.897288024,0.442890972
0.053650332,-0.89681834,0.443855524
0.053773668,-0.89634788,0.444819897
0.053897,-0.89587611,0.445783406
0.054020336,-0.895403266,0.446746558
0.054143668,-0.894929409,0.447709411
0.054267004,-0.89445442,0.448671639
0.054390336,-0.893978238,0.44963339
0.054513672,-0.893500984,0.450594723
0.054637004,-0.893022835,0.451555699
0.05476034,-0.892543316,0.45251593
0.054883672,-0.892062843,0.453475922
0.055007008,-0.891581237,0.454435378
0.05513034,-0.89109838,0.455394268
0.055253676,-0.890614629,0.456352711
0.055377008,-0.890129685,0.457310796
0.055500344,-0.88964355,0.458268195
0.055623676,-0.889156401,0.459225208
